Timestamp,Variable,Raw_Value,Norm_Value_z-score
2023-03-31,job_search_面试,5654,1.0364690629812416
2023-04-30,job_search_面试,4255,-0.6140946468773322
2023-05-31,job_search_面试,4185,-0.6966818232104989
2023-06-30,job_search_面试,6032,1.4824398151803417
2023-07-31,job_search_面试,6086,1.546149922637356
2023-08-31,job_search_面试,4705,-0.08317708473554643
2023-09-30,job_search_面试,4553,-0.26250923905899404
2023-10-31,job_search_面试,3635,-1.345581065828237
2023-11-30,job_search_面试,4040,-0.8677552599006298
2023-12-31,job_search_面试,4256,-0.6129148300725726
2024-01-31,job_search_面试,5111,0.3958285379968203
2024-02-29,job_search_面试,4138,-0.7521332130341964
2024-03-31,job_search_面试,5912,1.3408617986091989
2024-04-30,job_search_面试,4394,-0.45010011101575836
2024-05-31,job_search_面试,4797,0.025366061302329764
2024-06-30,job_search_面试,6013,1.4600232958899109
2024-07-31,job_search_面试,6285,1.7809334667845014
2024-08-31,job_search_面试,4071,-0.8311809389530845
2024-09-30,job_search_面试,4693,-0.09733488639266072
2024-10-31,job_search_面试,5156,0.4489202942109988
2024-11-30,job_search_面试,4951,0.20705784923529644
2024-12-31,job_search_面试,4669,-0.1256504897068893
2023-01-31,job_search_简历,4203,-0.8168772912979801
2023-02-28,job_search_简历,4164,-0.8713862486413115
2023-03-31,job_search_简历,5246,0.6408879012429088
2023-04-30,job_search_简历,4523,-0.3696243079680813
2023-05-31,job_search_简历,4383,-0.5652974881749121
2023-06-30,job_search_简历,5985,1.673762759620394
2023-07-31,job_search_简历,5739,1.329937028685534
2023-08-31,job_search_简历,3615,-1.6387046481666692
2023-09-30,job_search_简历,4602,-0.25920872770851255
2023-10-31,job_search_简历,4704,-0.1166468392721073
2023-11-30,job_search_简历,3988,-1.1173753894727558
2023-12-31,job_search_简历,4201,-0.819672622443792
2024-01-31,job_search_简历,4441,-0.4842328849463679
2024-02-29,job_search_简历,4387,-0.5597068258832884
2024-03-31,job_search_简历,6046,1.759020359567656
2024-04-30,job_search_简历,4299,-0.6827013962990105
2024-05-31,job_search_简历,4706,-0.11385150812629544
2024-06-30,job_search_简历,6106,1.842880293942012
2024-07-31,job_search_简历,6053,1.7688040185779974
2024-08-31,job_search_简历,4787,-0.000640596720914796
2024-09-30,job_search_简历,4211,-0.8056959667147326
2024-10-31,job_search_简历,5042,0.3557641243700983
2024-11-30,job_search_简历,4668,-0.16696279989672091
2024-12-31,job_search_简历,4800,0.017529055726862343
2023-01-31,emp_difficulty_就业难,1655,-1.262521496226501
2023-02-28,emp_difficulty_就业难,1608,-1.3894601046357613
2023-03-31,emp_difficulty_就业难,2340,0.5875412008020817
2023-04-30,emp_difficulty_就业难,1543,-1.565013499244313
2023-05-31,emp_difficulty_就业难,1760,-0.9789352433973022
